Latitude,Longitude,Elevation
41.69772000,-87.9695500,193.0
41.69804000,-87.9683800,195.0
41.69886000,-87.9653700,194.0
41.69889000,-87.9652200,193.0
41.69890000,-87.9650700,193.0
41.69889000,-87.9649200,193.0
41.69876000,-87.9642000,191.0
41.69873000,-87.9640900,191.0
41.69870000,-87.9639900,190.0
41.69865000,-87.9639000,190.0
41.69860000,-87.9638100,189.0
41.69854000,-87.9637200,189.0
41.69846000,-87.9636200,189.0
41.69843000,-87.9635500,189.0
41.69840000,-87.9633900,188.0
41.69839000,-87.9631800,187.0
41.69840000,-87.9630700,186.0
41.69841000,-87.9629700,185.0
41.69842000,-87.9629200,185.0
41.69847000,-87.9627800,185.0
41.69850000,-87.9627400,185.0
41.69853000,-87.9627100,185.0
41.69855000,-87.9626900,185.0
41.69858000,-87.9626800,185.0
41.69865000,-87.9626800,186.0
41.69874000,-87.9626900,187.0
41.69891000,-87.9627200,189.0
41.69923000,-87.9628000,192.0
41.69931000,-87.9628100,192.0
41.69939000,-87.9628000,193.0
41.69948000,-87.9627800,194.0
41.69957000,-87.9627300,195.0
41.69964000,-87.9626700,195.0
41.69973000,-87.9626000,196.0
41.69983000,-87.9625300,197.0
41.69988000,-87.9625100,197.0
41.69993000,-87.9624900,198.0
41.70012000,-87.9624300,199.0
41.70030000,-87.9624000,200.0
41.70042000,-87.9624000,200.0
41.70054000,-87.9624000,200.0
41.70071000,-87.9624200,201.0
41.70080000,-87.9624300,201.0
41.70097000,-87.9624900,202.0
41.70108000,-87.9625200,203.0
41.70114000,-87.9625500,204.0
41.70113000,-87.9626700,205.0
41.70110000,-87.9629000,206.0
41.70109000,-87.9630700,207.0
41.70108000,-87.9632100,207.0
41.70108000,-87.9633200,207.0
41.70109000,-87.9634000,207.0
41.70114000,-87.9634700,207.0
41.70133000,-87.9635000,208.0
41.70149000,-87.9634800,209.0
41.70159000,-87.9635000,210.0
41.70167000,-87.9635500,210.0
41.70183000,-87.9636600,210.0
41.70203000,-87.9637400,209.0
41.70222000,-87.9637900,209.0
41.70272000,-87.9639000,209.0
41.70286000,-87.9639300,210.0
41.70358000,-87.9640500,212.0
41.70370000,-87.9640700,211.0
41.70381000,-87.9641100,211.0
41.70394000,-87.9641700,210.0
41.70405000,-87.9642200,210.0
41.70413000,-87.9642500,210.0
41.70420000,-87.9642600,210.0
41.70430000,-87.9642700,211.0
41.70438000,-87.9642800,211.0
41.70447000,-87.9643100,211.0
41.70455000,-87.9643400,210.0
41.70460000,-87.9643500,210.0
41.70462000,-87.9643500,210.0
41.70469000,-87.9643500,209.0
41.70482000,-87.9643400,208.0
41.70488000,-87.9643300,207.0
41.70493000,-87.9643000,207.0
41.70498000,-87.9642400,206.0
41.70504000,-87.9641700,206.0
41.70509000,-87.9641300,206.0
41.70514000,-87.9641000,206.0
41.70520000,-87.9640600,206.0
41.70534000,-87.9639800,206.0
41.70542000,-87.9639300,206.0
41.70551000,-87.9638500,207.0
41.70557000,-87.9638000,207.0
41.70561000,-87.9637300,207.0
41.70564000,-87.9636800,208.0
41.70572000,-87.9636100,208.0
41.70580000,-87.9635400,208.0
41.70584000,-87.9634900,209.0
41.70588000,-87.9634400,209.0
41.70591000,-87.9633600,209.0
41.70591000,-87.9632300,208.0
41.70591000,-87.9630600,208.0
41.70592000,-87.9629100,207.0
41.70593000,-87.9627500,206.0
41.70596000,-87.9625300,205.0
41.70598000,-87.9624200,205.0
41.70600000,-87.9623500,205.0
41.70602000,-87.9622900,205.0
41.70607000,-87.9621800,205.0
41.70609000,-87.9621200,205.0
41.70614000,-87.9618700,205.0
41.70615000,-87.9617400,205.0
41.70614000,-87.9616700,205.0
41.70613000,-87.9615900,205.0
41.70610000,-87.9613600,206.0
41.70610000,-87.9612900,206.0
41.70610000,-87.9612400,206.0
41.70611000,-87.9611400,206.0
41.70612000,-87.9611000,206.0
41.70614000,-87.9610700,206.0
41.70617000,-87.9610100,206.0
41.70622000,-87.9608800,207.0
41.70624000,-87.9608200,207.0
41.70626000,-87.9607600,207.0
41.70630000,-87.9605500,208.0
41.70630000,-87.9605000,208.0
41.70630000,-87.9604500,207.0
41.70629000,-87.9603500,207.0
41.70630000,-87.9603000,207.0
41.70630000,-87.9602700,207.0
41.70640000,-87.9599600,207.0
41.70645000,-87.9597800,207.0
